Gene,In-Degree Centrality,Out-Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Clustering Coefficient
ESRRA,0.03089887640449438,0.9051966292134831,0.0003220860005563819,0.03259430176565008,0.02664837156089508,0.05974327675127892
PPIB,0.03792134831460674,0.0,0.0,0.03810257339615803,0.033088906297813046,0.5611460517120894
GTF3C1,0.03932584269662921,0.0,0.0,0.039372659176029966,0.03308894087966637,0.5233766233766234
CLPTM1L,0.024578651685393256,0.0,0.0,0.02916493272298516,0.02441520342633105,0.7563025210084033
IL17RA,0.026685393258426966,0.0,0.0,0.030286660904638437,0.025589250430182668,0.7354196301564723
HIPK1,0.038623595505617975,0.0,0.0,0.03872720574691472,0.0330889235887397,0.5420875420875421
ZCCHC8,0.037219101123595506,0.0,0.0,0.03749777064383806,0.03308888900688639,0.581277213352685
TPT1,0.038623595505617975,0.0,0.0,0.03872720574691472,0.0330889235887397,0.5420875420875421
AGPAT3,0.026685393258426966,0.0,0.0,0.030286660904638437,0.025589250430182668,0.7354196301564723
RPS18,0.026685393258426966,0.0,0.0,0.030286660904638437,0.025589250430182668,0.7354196301564723
DNAJC5,0.0273876404494382,0.0,0.0,0.030679994163140233,0.02558926772110933,0.717948717948718
ZZEF1,0.03651685393258427,0.0,0.0,0.036911867977528094,0.03308887171595972,0.6025641025641025
SETDB2,0.024578651685393256,0.0,0.0,0.02916493272298516,0.02441520342633105,0.7563025210084033
SRD5A3,0.02598314606741573,0.0,0.0,0.029903285450149343,0.02441523800818437,0.7267267267267268
GPBAR1,0.026685393258426966,0.0,0.0,0.030286660904638437,0.025589250430182668,0.7354196301564723
MKL1,0.04002808988764045,0.0,0.0,0.040039992382403355,0.03308895817059303,0.5056390977443609
FAM127A,0.0273876404494382,0.0,0.0,0.030679994163140233,0.02558926772110933,0.717948717948718
RETN,0.0273876404494382,0.0,0.0,0.030679994163140233,0.02558926772110933,0.717948717948718
BRAT1,0.03651685393258427,0.0,0.0,0.036911867977528094,0.03308887171595972,0.6025641025641025
SCARB2,0.03581460674157303,0.0,0.0,0.03634399308556612,0.03177080858395601,0.596078431372549
CEP78,0.02598314606741573,0.0,0.0,0.029903285450149343,0.02441523800818437,0.7267267267267268
SELL,0.03651685393258427,0.0,0.0,0.036911867977528094,0.03308887171595972,0.6025641025641025
DPYSL2,0.0273876404494382,0.0,0.0,0.030679994163140233,0.02558926772110933,0.717948717948718
SLC11A1,0.038623595505617975,0.0,0.0,0.03872720574691472,0.0330889235887397,0.5420875420875421
RPL10A,0.03581460674157303,0.0,0.0,0.03634399308556612,0.03177080858395601,0.596078431372549
PLXNB2,0.024578651685393256,0.0,0.0,0.02916493272298516,0.02441520342633105,0.7563025210084033
SLA2,0.0273876404494382,0.0,0.0,0.030679994163140233,0.02558926772110933,0.717948717948718
NAGA,0.0273876404494382,0.0,0.0,0.030679994163140233,0.02558926772110933,0.717948717948718
RPLP1,0.025280898876404494,0.0,0.0,0.029529494382022473,0.02441522071725771,0.7412698412698413
SLC2A4RG,0.0273876404494382,0.0,0.0,0.030679994163140233,0.02558926772110933,0.717948717948718
RP11-664D1.1,0.03230337078651685,0.0,0.0,0.03374799357945426,0.029278681157174056,0.6512077294685991
WARS,0.033707865168539325,0.0,0.0,0.03474058162590879,0.03045274545195228,0.6320921985815603
N4BP2L2,0.03651685393258427,0.0,0.0,0.036911867977528094,0.03308887171595972,0.6025641025641025
CTAGE5,0.02598314606741573,0.0,0.0,0.029903285450149343,0.02441523800818437,0.7267267267267268
LSM7,0.03300561797752809,0.0,0.0,0.03423709493567823,0.030452728161025622,0.6549491211840888
FAM105A,0.02598314606741573,0.0,0.0,0.029903285450149343,0.02441523800818437,0.7267267267267268
FOSL2,0.03441011235955056,0.0,0.0,0.03525909776957907,0.030452762742878947,0.6105442176870748
SPRYD3,0.026685393258426966,0.0,0.0,0.030286660904638437,0.025589250430182668,0.7354196301564723
FOXP1,0.02598314606741573,0.30196629213483145,0.0,0.029631183423318257,0.02441523800818437,0.1525228708855984
