,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AC092580.4,0.2996965,-0.0014101525,0.7896123,0.06081036,0.25703946,-0.0007823924,0.25982612,0.024099998,-0.005012973,0.32135895,0.12200674,0.21680185,-0.0037059945,-0.0043605147,0.23460934,-0.0026260896
AC093673.5,0.44592628,-0.0011918108,0.783177,0.08753279,0.16041933,-0.0010995348,0.46952832,-9.1987735e-05,-0.004596145,0.18881506,0.05948796,0.11328686,-0.0038640234,-0.00405692,0.19917902,-0.0028791027
AC245100.1,0.041156374,-0.0072098463,0.057605296,0.94155765,-0.0016633605,-0.0033090292,-0.001409355,0.8141807,-0.0011384753,0.068728335,0.20418927,0.23654203,-0.003425628,-0.0043677473,0.05037961,0.20207402
ACAA2,0.31775242,-0.004458378,0.5538275,0.34714347,0.20581272,-0.0025101793,0.54403037,0.14704677,-0.0036377143,0.09650749,-0.00041518925,0.06565306,-0.003137163,-0.0027417217,0.20170209,-0.002524996
ACADS,0.37869236,-0.001827346,0.8357087,0.058886833,0.24176228,-0.00026678992,0.34910035,-0.00022138901,-0.005392861,0.29999655,0.08997678,0.24208367,-0.004317123,-0.0042822673,0.25508672,-0.0027114402
ACAP1,0.31509727,-0.001762279,0.782488,0.09934053,0.20066354,-0.000772295,0.21110095,0.08074699,-0.005187041,0.3547937,0.1475397,0.2913813,-0.0038641393,-0.004658651,0.27203563,-0.0022920137
ACAP3,0.30514893,-0.0019633814,0.75756526,0.16356458,0.28646708,-0.0010701104,0.36830735,0.027124837,-0.004767726,0.22714671,0.086111255,0.23292601,-0.0039148848,-0.0044500283,0.21956298,-0.0026964026
ACAT2,0.361798,-0.0019826181,0.72909504,0.08084476,0.19350186,-0.0012454093,0.29956365,0.09515445,-0.0056536854,0.3615772,0.1525419,0.24649808,-0.0040922235,-0.0044878027,0.2399124,-0.0028692856
ACBD3,0.10619326,-0.00787589,0.13791133,0.9931671,-0.002010265,-0.0037920333,-0.0005948035,0.83552057,-0.0022447947,0.113481976,0.20861587,0.13973911,-0.0037826828,-0.004233607,0.07662028,0.17963722
ACBD6,0.05703406,-0.0075482144,0.046928592,0.9736124,-0.0016101819,-0.0038668572,-0.00057940296,0.8595882,-0.0011385132,0.04766081,0.17887259,0.1889556,-0.003469233,-0.004060411,0.070517235,0.18994097
ACD,0.30646324,-0.003941601,0.59011185,0.30979985,0.26793092,-0.0026056329,0.57359016,0.09585333,-0.00433252,0.05095276,-0.00081179634,0.1109537,-0.003718994,-0.0026358603,0.16727465,-0.0029196052
ACER3,0.2540885,-0.003296417,0.76853496,0.009314328,0.24770096,-0.0017404543,0.2730049,-0.001142486,-0.006490586,0.3953894,0.087245084,0.25502676,-0.0026116616,-0.0037304133,0.2539161,-0.0026755664
ACLY,0.031924568,-0.003560239,0.75045735,0.27690494,0.14571482,-0.004625727,-0.0011029359,0.02414722,-0.0064009735,0.39997357,0.28150937,0.096269794,-0.001279403,-0.0020600634,0.16590598,-0.0019842444
ACO2,0.051013596,-0.007033602,0.12450905,0.9192732,-0.0020766559,-0.003199389,-0.0010949624,0.86465466,-0.0014164433,0.09999558,0.13441658,0.24408033,-0.0039484417,-0.0043451483,0.12420107,0.17610128
ACOT8,0.23931089,-0.0049763457,0.32383537,0.5922652,0.15063713,-0.003061609,0.5268606,0.3143978,-0.0013395182,-0.0014954191,-0.00080706214,-0.0006996807,-0.0033852556,-0.0017377391,0.099113725,-0.0016835686
ACOT9,-0.004648715,0.2683567,1.0746759,0.15506497,0.4754656,-0.0074850833,-0.00022681519,0.27085227,-0.0013928363,0.2854083,0.6792519,-0.0064412616,0.39672542,0.18212858,0.13920695,-0.006855689
