Source,Target,Color
ATF2,GABARAPL2,green
ATF2,RAD23B,green
ATF2,IGF2R,green
ATF2,SBF2,green
ATF2,DPYSL2,green
ATF2,C5orf56,green
ATF2,DCAF8,green
ATF2,CXXC5,green
ATF2,DUSP1,green
ATF2,CMSS1,green
ATF2,HIST1H4C,green
ATF2,TMEM154,green
ATF2,ANKHD1,green
ATF2,BCL9L,green
ATF2,LMNA,green
ATF2,RNF38,green
ATF2,AMD1,green
ATF2,SNX20,blue
ATF2,CYBA,blue
ATF2,MIEF1,blue
ATF2,VPS26B,blue
ATF2,TNFAIP8L1,blue
ATF2,FAM43A,blue
ATF2,C5orf17,blue
ATF2,PNMA1,blue
ATF2,BCL6,blue
ATF2,FAM134B,blue
ATF2,PI4KA,blue
ATF2,DYNC1LI2,blue
ATF2,GNB2,blue
ATF2,NUTM2A-AS1,blue
ATF2,VPS33A,blue
ATF2,FBXO18,blue
ATF2,RRBP1,blue
ATF2,RBM28,blue
ATF2,WIPF2,blue
ATF2,TAPBPL,blue
ATF2,PARVB,blue
ATF2,SMARCA4,blue
ATF2,PSMB8,blue
ATF2,CD300LF,blue
ATF2,PLEKHA2,blue
ATF2,CD36,blue
ATF2,MR1,blue
ATF2,CES1,blue
ATF2,PCNP,blue
ATF2,ARPC4,blue
ATF2,ACTR6,blue
ATF2,GFM1,blue
ATF2,HMOX1,blue
ATF2,SLC2A4RG,blue
ATF2,CD72,blue
ATF2,CDKN2AIP,blue
ATF2,CD160,blue
ATF2,COASY,blue
ATF2,STT3A,blue
ATF2,DNAJC5,blue
ATF2,RPUSD4,blue
ATF2,SAT1,blue
ATF2,TXK,blue
ATF2,PPCS,blue
ATF2,DERL2,blue
ATF2,FLJ37453,blue
ATF2,STOM,blue
ATF2,ACTG1,blue
ATF2,CTD-3252C9.4,blue
ATF2,HSPA8,blue
ATF2,RP2,blue
ATF2,TMA7,blue
ATF2,NBR1,blue
ATF2,CTBP1,blue
ATF2,APOBEC3A,blue
ATF2,BIN2,blue
ATF2,ATP5A1,blue
ATF2,CAPG,blue
ATF2,UIMC1,blue
ATF2,CALM1,blue
ATF2,VKORC1,blue
ATF2,MAPKAPK2,blue
ATF2,CD93,blue
ATF2,AP3D1,blue
ATF2,RP4-594I10.3,blue
ATF2,JUNB,blue
ATF2,GALNT11,blue
ATF2,NT5C,blue
ATF2,TRMT6,blue
ATF2,CSTB,blue
ATF2,CHST11,blue
ATF2,GBP3,blue
ATF2,THRAP3,blue
ATF2,UBA5,blue
ATF2,SCAF11,blue
ATF2,FAM210B,blue
ATF2,UQCRH,blue
ATF2,DCTN4,blue
ATF2,LAMTOR5,blue
ATF2,CLEC4E,blue
ATF2,PXN,blue
ATF2,ICOS,blue
ATF2,POLD4,blue
ATF2,SUPT3H,blue
ATF2,GAMT,blue
ATF2,UBXN2A,blue
ATF2,CD79A,blue
ATF2,CLIP4,blue
ATF2,MARCH1,blue
ATF2,ABHD12,blue
ATF2,NDRG3,blue
ATF2,PLXDC2,blue
ATF2,LILRA5,blue
ATF2,POP7,blue
ATF2,RPL28,blue
ATF2,AP000769.1,blue
ATF2,EVL,blue
ATF2,PLXNB2,blue
ATF2,S100A6,blue
ATF2,FCF1,blue
ATF2,SLC11A1,blue
ATF2,ADRB2,blue
ATF2,TRPS1,blue
ATF2,MT-CYB,blue
ATF2,AES,blue
ATF2,FCGR2A,blue
ATF2,UNC45A,blue
ATF2,TMEM214,blue
ATF2,APAF1,blue
ATF2,TBCD,blue
ATF2,MINA,blue
ATF2,EZR,blue
ATF2,COX5B,blue
ATF2,CD4,blue
ATF2,YPEL5,blue
ATF2,SIRPG,blue
ATF2,ANAPC15,blue
ATF2,ITPK1,blue
ATF2,ERCC5,blue
ATF2,MGRN1,blue
ATF2,SPPL3,blue
ATF2,STX3,blue
ATF2,TPST2,blue
ATF2,DPYD,blue
ATF2,CSF3R,blue
ATF2,JAK1,blue
ATF2,SRRT,blue
ATF2,MTIF2,blue
ATF2,NRBF2,blue
ATF2,TRIM38,blue
ATF2,PYGL,blue
ATF2,RNF40,blue
ATF2,CBX6,blue
ATF2,FAM228B,blue
ATF2,CAMK1,blue
ATF2,ASCL2,blue
ATF2,CALR,blue
ATF2,WARS,blue
ATF2,KLF2,blue
ATF2,NDUFB2,blue
ATF2,GPR171,blue
ATF2,WDR18,blue
ATF2,KANSL1-AS1,blue
ATF2,FOSL2,blue
ATF2,PRDX5,blue
ATF2,KPNA6,blue
ATF2,BORCS6,blue
ATF2,AC092580.4,blue
ATF2,UCP2,blue
ATF2,TMEM91,blue
ATF2,INIP,blue
ATF2,MLH1,blue
ATF2,HSPA1A,blue
ATF2,APBB1,blue
ATF2,SOCS3,blue
ATF2,HLA-DRB1,blue
ATF2,TES,blue
ATF2,CTB-61M7.2,blue
ATF2,NEDD9,blue
ATF2,DDX60L,blue
ATF2,CERS2,blue
ATF2,IKZF3,blue
ATF2,NMT2,blue
ATF2,PRR34-AS1,blue
ATF2,CCND2,blue
ATF2,ENTPD6,blue
ATF2,LPCAT2,blue
ATF2,SNHG12,blue
ATF2,FUCA2,blue
ATF2,VAMP4,blue
ATF2,FAF2,blue
ATF2,C19orf38,blue
ATF2,SLC8A1,blue
ATF2,AC074117.10,blue
ATF2,HNRNPR,blue
ATF2,EFCAB2,blue
ATF2,CTD-2035E11.3,blue
ATF2,MTO1,blue
ATF2,ZFAND2A,blue
ATF2,IL2RG,blue
ATF2,LAMTOR3,blue
ATF2,GABPB1-AS1,blue
ATF2,IRAK3,blue
ATF2,WDR70,blue
ATF2,LEO1,blue
ATF2,P2RY13,blue
ATF2,LGALS3,blue
ATF2,CX3CR1,blue
ATF2,TMEM41A,blue
ATF2,H3F3A,blue
ATF2,RPL10A,blue
ATF2,TUSC2,blue
ATF2,CAP1,blue
ATF2,RPS14,blue
ATF2,TRIOBP,blue
ATF2,SSR4,blue
ATF2,RPN1,blue
ATF2,AGPAT3,blue
ATF2,TMEM203,blue
ATF2,TMEM106C,blue
ATF2,HBP1,blue
ATF2,HMCES,blue
ATF2,RGS18,blue
ATF2,DHRS1,blue
ATF2,PPP1R15B,blue
ATF2,DCAF15,blue
ATF2,MT-ND4,blue
ATF2,CD320,blue
ATF2,ASH2L,blue
ATF2,LSR,blue
ATF2,PID1,blue
ATF2,ITGAX,blue
ATF2,SNRPG,blue
ATF2,INTS5,blue
ATF2,MFGE8,blue
ATF2,PTMS,blue
ATF2,MAP4,blue
ATF2,PTPRJ,blue
ATF2,MAPKAPK3,blue
ATF2,ETHE1,blue
ATF2,GTF3C1,blue
ATF2,HLA-DPB1,blue
ATF2,VIMP,blue
ATF2,PDLIM2,blue
ATF2,RNF144B,blue
ATF2,GPBAR1,blue
ATF2,YTHDC2,blue
ATF2,POGK,blue
ATF2,SETD2,blue
ATF2,TRMT13,blue
ATF2,UBE2V1,blue
ATF2,CLPTM1L,blue
ATF2,MS4A1,blue
ATF2,RPS12,blue
ATF2,DPP4,blue
ATF2,C5orf45,blue
ATF2,RAB35,blue
ATF2,BRI3BP,blue
ATF2,RALGAPA1,blue
ATF2,CDC42SE1,blue
ATF2,SPIDR,blue
ATF2,HLA-DQB1,blue
ATF2,RCE1,blue
ATF2,MCL1,blue
ATF2,HIVEP3,blue
ATF2,PRDX2,blue
ATF2,SMPD1,blue
ATF2,SH3GL1,blue
ATF2,HLA-DRA,blue
ATF2,STX4,blue
ATF2,SIRPB1,blue
ATF2,GIMAP2,blue
ATF2,MGST2,blue
ATF2,S100A8,blue
ATF2,TAOK1,blue
ATF2,FPR1,blue
ATF2,ABLIM1,blue
ATF2,RPL22L1,blue
ATF2,ATP6V0B,blue
ATF2,ELAC2,blue
ATF2,SCLT1,blue
ATF2,LBH,blue
ATF2,EIF1AY,blue
ATF2,TOB1,blue
ATF2,PDK2,blue
ATF2,POLR1E,blue
ATF2,EFHD2,blue
ATF2,STX7,blue
ATF2,OTUD4,blue
ATF2,TMX1,blue
ATF2,NSUN6,blue
ATF2,KHSRP,blue
ATF2,DHX16,blue
ATF2,CHRM3-AS2,blue
ATF2,CRTAM,blue
ATF2,GAK,blue
ATF2,C5AR1,blue
ATF2,C22orf46,blue
ATF2,PRAM1,blue
ATF2,ILF3,blue
ATF2,ARNT,blue
ATF2,NDUFV3,blue
ATF2,RPPH1,blue
ATF2,TRIM14,blue
ATF2,CD33,blue
ATF2,ZNF385A,blue
ATF2,RPL18A,blue
ATF2,EIF4G2,blue
ATF2,STX16,blue
ATF2,XPNPEP1,blue
ATF2,KCNN4,blue
ATF2,NFE2L2,blue
ATF2,DEGS1,blue
ATF2,C14orf119,blue
ATF2,PDXK,blue
ATF2,PTPN9,blue
ATF2,KIAA0196,blue
ATF2,GLT8D1,blue
ATF2,PPCDC,blue
ATF2,HNRNPAB,blue
ATF2,TMEM123,blue
ATF2,LINC00877,blue
ATF2,AP2A2,blue
ATF2,HLA-C,blue
ATF2,TPRA1,blue
ATF2,PASK,blue
ATF2,ZNF609,blue
ATF2,MXD1,blue
ATF2,BRAT1,blue
ATF2,UTP11L,blue
ATF2,RBX1,blue
ATF2,ORAI1,blue
ATF2,MFSD14B,blue
ATF2,MZT2B,blue
ATF2,UBE2B,blue
ATF2,RPL35,blue
ATF2,GLRX,blue
ATF2,MSH2,blue
ATF2,FBXL12,blue
ATF2,KNOP1,blue
ATF2,RPS6,blue
ATF2,HAUS3,blue
ATF2,VPS13A,blue
ATF2,CFD,blue
ATF2,HIGD2A,blue
ATF2,MYL6,blue
ATF2,BRD8,blue
ATF2,SLFN5,blue
ATF2,RNF41,blue
ATF2,ARGLU1,blue
ATF2,GNB4,blue
ATF2,APOL6,blue
ATF2,FUCA1,blue
ATF2,LILRA1,blue
ATF2,OSCAR,blue
ATF2,KIAA0586,blue
ATF2,CD302,blue
ATF2,FIS1,blue
ATF2,CHN2,blue
ATF2,FES,blue
ATF2,TNFAIP2,blue
ATF2,HNRNPU,blue
ATF2,TSC22D2,blue
ATF2,GBP1,blue
ATF2,MTMR11,blue
ATF2,KDSR,blue
ATF2,PPAN,blue
ATF2,LMNB1,blue
ATF2,SLC40A1,blue
ATF2,RPL18,blue
ATF2,PNPT1,blue
ATF2,LILRA2,blue
ATF2,IER2,blue
ATF2,RPL8,blue
ATF2,GDI2,blue
ATF2,LINC00685,blue
ATF2,ITGA5,blue
ATF2,UBR5,blue
ATF2,RP11-18H21.1,blue
ATF2,ZNF317,blue
ATF2,MLLT3,blue
ATF2,TRIM56,blue
ATF2,CPNE2,blue
ATF2,CSK,blue
ATF2,CLEC11A,blue
ATF2,TIMP2,blue
ATF2,CLEC7A,blue
ATF2,CXorf38,blue
ATF2,TRAF1,blue
ATF2,ADRBK1,blue
ATF2,PWWP2A,blue
ATF2,TSPAN14,blue
ATF2,DYNLL1,blue
ATF2,KCNE3,blue
ATF2,BAK1,blue
ATF2,GSTK1,blue
ATF2,RPLP0,blue
ATF2,SLC25A3,blue
ATF2,CEP85L,blue
ATF2,GDE1,blue
ATF2,ATF6B,blue
ATF2,LINC00402,blue
ATF2,RPS2,blue
ATF2,SNRNP35,blue
ATF2,RPL7A,blue
ATF2,DOCK2,blue
ATF2,SYNE3,blue
ATF2,PPWD1,blue
ATF2,CCDC84,blue
ATF2,SGTB,blue
ATF2,MRPL17,blue
ATF2,KCNK6,blue
ATF2,PDCL,blue
ATF2,CHD3,blue
ATF2,SMARCAD1,blue
ATF2,PAG1,blue
ATF2,RPS13,blue
ATF2,TBC1D15,blue
ATF2,MAP7D3,blue
ATF2,TUBA1A,blue
ATF2,FNBP4,blue
ATF2,NTMT1,blue
ATF2,TRG-AS1,blue
ATF2,CD55,blue
ATF2,TMX3,blue
ATF2,NFYC,blue
ATF2,PARP14,blue
ATF2,NDUFA13,blue
ATF2,TYSND1,blue
ATF2,TRAFD1,blue
ATF2,P4HTM,blue
ATF2,NCF1,blue
ATF2,ELOVL5,blue
ATF2,BRIX1,blue
ATF2,ZNF770,blue
ATF2,TXNRD1,blue
ATF2,STRN3,blue
ATF2,EIF4G3,blue
ATF2,ATP13A1,blue
ATF2,SMCO4,blue
ATF2,UNC13D,blue
ATF2,KDM2A,blue
ATF2,CEP78,blue
ATF2,FNIP1,blue
ATF2,C3orf58,blue
ATF2,SIL1,blue
ATF2,CDC14A,blue
ATF2,NT5C2,blue
ATF2,GNG2,blue
ATF2,TNFRSF13C,blue
ATF2,RSRP1,blue
ATF2,CD53,blue
ATF2,SCAMP1-AS1,blue
ATF2,NAMPT,blue
ATF2,MRRF,blue
ATF2,ARV1,blue
ATF2,IRF8,blue
ATF2,MLLT6,blue
ATF2,ARHGEF1,blue
ATF2,MED13L,blue
ATF2,CD82,blue
ATF2,ATPAF1,blue
ATF2,RAB32,blue
ATF2,CSNK1G2,blue
ATF2,EPHA1-AS1,blue
ATF2,IL2RB,blue
ATF2,IL13RA1,blue
ATF2,TSTD1,blue
ATF2,TPRG1L,blue
ATF2,FAM78A,blue
ATF2,DLD,blue
ATF2,APOBR,blue
ATF2,IL6R,blue
ATF2,TMEM131,blue
ATF2,HNMT,blue
ATF2,UTP14A,blue
ATF2,THRA,blue
ATF2,PPP6R1,blue
ATF2,SLC35C2,blue
ATF2,GPRIN3,blue
ATF2,ZNF524,blue
ATF2,PREPL,blue
ATF2,C11orf58,blue
ATF2,ICE2,blue
ATF2,UHRF2,blue
ATF2,WSB1,blue
ATF2,HMGA1,blue
ATF2,HRH2,blue
ATF2,RAD1,blue
ATF2,PGM1,blue
ATF2,QDPR,blue
ATF2,MORC2-AS1,blue
ATF2,RPS5,blue
ATF2,ARHGAP9,blue
ATF2,TNFRSF14,blue
ATF2,KTN1,blue
ATF2,SPON2,blue
ATF2,CSF2RA,blue
ATF2,STK17A,blue
ATF2,PRKCD,blue
ATF2,KIAA1429,blue
ATF2,HLA-G,blue
ATF2,HIBADH,blue
ATF2,ZFP91,blue
ATF2,CEBPD,blue
ATF2,LTBR,blue
ATF2,DNAJC7,blue
ATF2,CASP8,blue
ATF2,ICT1,blue
ATF2,IDH3A,blue
ATF2,PRMT7,blue
ATF2,CPPED1,blue
ATF2,CYB561A3,blue
ATF2,GPKOW,blue
ATF2,ANKIB1,blue
ATF2,KDM6B,blue
ATF2,PARP4,blue
ATF2,DMTF1,blue
ATF2,TACC3,blue
ATF2,SEC24C,blue
ATF2,NECAP1,blue
ATF2,SSFA2,blue
ATF2,WWP2,blue
ATF2,YIF1B,blue
ATF2,CAPZB,blue
ATF2,PILRA,blue
ATF2,AK3,blue
ATF2,EEF1A1,blue
ATF2,PRKCB,blue
ATF2,NT5C3A,blue
ATF2,RAB34,blue
ATF2,PSME3,blue
ATF2,ZNF512,blue
ATF2,MPPE1,blue
ATF2,MUS81,blue
ATF2,UHRF1BP1L,blue
ATF2,PRKAR2A,blue
ATF2,EAF1,blue
ATF2,CKAP4,blue
ATF2,MGEA5,blue
ATF2,ANKRA2,blue
ATF2,POLR3H,blue
ATF2,TP53,blue
ATF2,RPSA,blue
ATF2,ARHGEF3,blue
ATF2,CD99,blue
ATF2,EMG1,blue
ATF2,CAB39,blue
ATF2,RBMS1,blue
ATF2,AASDH,blue
ATF2,MNT,blue
ATF2,PTTG1IP,blue
ATF2,GATAD2B,blue
ATF2,COG3,blue
ATF2,TMIGD2,blue
ATF2,ZBTB4,blue
ATF2,RNF14,blue
ATF2,ITM2B,blue
ATF2,LACTB2,blue
ATF2,ETS2,blue
ATF2,ASGR1,blue
ATF2,MTCH2,blue
ATF2,UBP1,blue
ATF2,ING2,blue
ATF2,NANS,blue
ATF2,RPS8,blue
ATF2,DHRS3,blue
ATF2,PLEKHB1,blue
ATF2,EMP3,blue
ATF2,MPHOSPH8,blue
ATF2,CCL4L2,blue
ATF2,PSTPIP1,blue
ATF2,PFN1,blue
ATF2,OSER1,blue
ATF2,ABHD5,blue
ATF2,TXNIP,blue
ATF2,PRKCA,blue
ATF2,RPL36A,blue
ATF2,VCAN,blue
ATF2,EIF4E3,blue
ATF2,KDM3A,blue
ATF2,IL1B,blue
ATF2,TSEN54,blue
ATF2,FCER2,blue
ATF2,LCP1,blue
ATF2,SHTN1,blue
ATF2,MOGS,blue
ATF2,AC013264.2,blue
ATF2,HOXB-AS1,blue
ATF2,CISD3,blue
ATF2,FPGS,blue
ATF2,NRGN,blue
ATF2,TRAPPC2,blue
ATF2,ASAP1,blue
ATF2,PLCL2,blue
ATF2,VPS45,blue
ATF2,SH3GLB2,blue
ATF2,ABHD2,blue
ATF2,RASA4,blue
ATF2,RPL12,blue
ATF2,TSEN15,blue
ATF2,ARL4A,blue
ATF2,BTBD7,blue
ATF2,MAF1,blue
ATF2,ACAP1,blue
ATF2,LRRC25,blue
ATF2,IMPDH1,blue
ATF2,ATP11A,blue
ATF2,NFKBIL1,blue
ATF2,BCL2L1,blue
ATF2,ANKH,blue
ATF2,MAPK1,blue
ATF2,IQGAP1,blue
ATF2,SCAND1,blue
ATF2,HNRNPD,blue
ATF2,MON2,blue
ATF2,BRK1,blue
ATF2,OFD1,blue
ATF2,KCTD12,blue
ATF2,RP11-347P5.1,blue
ATF2,PLP2,blue
ATF2,ANPEP,blue
ATF2,LAT2,blue
ATF2,GNPDA1,blue
ATF2,DDX23,blue
ATF2,JADE2,blue
ATF2,ATPAF2,blue
ATF2,POMC,blue
ATF2,DOK2,blue
ATF2,RPS17,blue
ATF2,TMEM176B,blue
ATF2,CD300E,blue
ATF2,TMX4,blue
ATF2,NDUFA2,blue
ATF2,GOPC,blue
ATF2,PLEC,blue
ATF2,QPCT,blue
ATF2,DAD1,blue
ATF2,SLC39A8,blue
ATF2,SEP15,blue
ATF2,CARD16,blue
ATF2,AVL9,blue
ATF2,APH1B,blue
ATF2,CCDC28B,blue
ATF2,RPS28,blue
ATF2,HEBP1,blue
ATF2,FZR1,blue
ATF2,ATF5,blue
ATF2,RNPC3,blue
ATF2,ATP6V1A,blue
ATF2,HENMT1,blue
ATF2,ILKAP,blue
ATF2,CD28,blue
ATF2,PIGK,blue
ATF2,HSBP1L1,blue
ATF2,USP33,blue
ATF2,CYSTM1,blue
ATF2,SEMA4A,blue
ATF2,DESI2,blue
ATF2,PSMD12,blue
ATF2,MVB12A,blue
ATF2,SRRM2,blue
ATF2,RGS19,blue
ATF2,FAM120AOS,blue
ATF2,RASSF5,blue
ATF2,APC,blue
ATF2,DENND4A,blue
ATF2,BEX5,blue
ATF2,MT-ND3,blue
ATF2,ZC3H11A,blue
ATF2,SCO1,blue
ATF2,MED17,blue
ATF2,STARD3NL,blue
ATF2,RPL31,blue
ATF2,IGHD,blue
ATF2,DNAJB11,blue
ATF2,C19orf52,blue
ATF2,PSAP,blue
ATF2,LZIC,blue
ATF2,ACTB,blue
ATF2,KAT6B,blue
ATF2,B4GALT1,blue
ATF2,FAM45A,blue
ATF2,LDHA,blue
ATF2,IFFO1,blue
ATF2,RPL21,blue
ATF2,FAM101B,blue
ATF2,PDLIM5,blue
ATF2,PIM1,blue
ATF2,ATAD2B,blue
ATF2,FAM35A,blue
ATF2,PPP3R1,blue
ATF2,UBALD1,blue
ATF2,UBL5,blue
ATF2,HNRNPLL,blue
ATF2,CTSH,blue
ATF2,USP38,blue
ATF2,OBFC1,blue
ATF2,LINC00152,blue
ATF2,SMCHD1,blue
ATF2,NEK9,blue
ATF2,GNL3L,blue
ATF2,ZCCHC8,blue
ATF2,SGTA,blue
ATF2,PREX1,blue
ATF2,COQ9,blue
ATF2,GLYR1,blue
ATF2,GAPDH,blue
ATF2,FAM110A,blue
ATF2,GLI4,blue
ATF2,SLC35A1,blue
ATF2,LPXN,blue
ATF2,AC093673.5,blue
ATF2,PTPN12,blue
ATF2,METTL15,blue
ATF2,FBP1,blue
ATF2,CD226,blue
ATF2,PIEZO1,blue
ATF2,GOLT1B,blue
ATF2,RNF11,blue
ATF2,C1orf50,blue
ATF2,PLAC8,blue
ATF2,RMND5B,blue
ATF2,GMFG,blue
ATF2,EIF2S3,blue
ATF2,HLA-DQA1,blue
ATF2,GIGYF2,blue
ATF2,LRRC47,blue
ATF2,PPP4C,blue
ATF2,RNF167,blue
ATF2,CHCHD10,blue
ATF2,CEP170,blue
ATF2,SRD5A3,blue
ATF2,BAP1,blue
ATF2,SLC2A3,blue
ATF2,ZMAT3,blue
ATF2,MBOAT7,blue
ATF2,QSOX1,blue
ATF2,IVD,blue
ATF2,RABIF,blue
ATF2,MLH3,blue
ATF2,POLR2J3,blue
ATF2,TANK,blue
ATF2,ALDH2,blue
ATF2,AC013461.1,blue
ATF2,MFSD11,blue
ATF2,GTPBP1,blue
ATF2,NCOA1,blue
ATF2,USB1,blue
ATF2,APOL2,blue
ATF2,PSMB8-AS1,blue
ATF2,RALY,blue
ATF2,TMED7,blue
ATF2,PTP4A3,blue
ATF2,FHL3,blue
ATF2,MZB1,blue
ATF2,KPNA3,blue
ATF2,SPTLC2,blue
ATF2,MT-CO1,blue
ATF2,NPM3,blue
ATF2,HSD17B12,blue
ATF2,NBPF19,blue
ATF2,SCAF1,blue
ATF2,RPS25,blue
ATF2,NINJ1,blue
ATF2,GPBP1,blue
ATF2,MAVS,blue
ATF2,MEI1,blue
ATF2,TNFSF13B,blue
ATF2,ARHGAP15,blue
ATF2,C9orf114,blue
ATF2,USP4,blue
ATF2,TWF1,blue
ATF2,PRRC1,blue
ATF2,CISH,blue
ATF2,CDK5RAP3,blue
ATF2,ILF3-AS1,blue
ATF2,PSMG1,blue
ATF2,C19orf48,blue
ATF2,SAMSN1,blue
ATF2,SSBP3,blue
ATF2,TRIM33,blue
ATF2,TXNDC15,blue
ATF2,MRPL10,blue
ATF2,COX5A,blue
ATF2,DSCR3,blue
ATF2,DNTTIP1,blue
ATF2,TRAPPC6B,blue
ATF2,HIST1H2AC,blue
ATF2,MBD4,blue
ATF2,SRSF1,blue
ATF2,CDK11B,blue
ATF2,VEZT,blue
ATF2,CSNK2A2,blue
ATF2,C3orf38,blue
ATF2,TIGIT,blue
ATF2,INPP4A,blue
ATF2,NPEPPS,blue
ATF2,ALKBH3,blue
ATF2,BROX,blue
ATF2,HELB,blue
ATF2,CUL2,blue
ATF2,MFSD10,blue
ATF2,MRPL46,blue
ATF2,MORF4L1,blue
ATF2,HIPK2,blue
ATF2,HP1BP3,blue
ATF2,RGL2,blue
ATF2,DVL2,blue
ATF2,ITGB2-AS1,blue
ATF2,MON1B,blue
ATF2,NUP37,blue
ATF2,SYTL1,blue
ATF2,RUNX2,blue
ATF2,BLVRB,blue
ATF2,CD244,blue
ATF2,DBNL,blue
ATF2,PAPSS1,blue
ATF2,BANP,blue
ATF2,RRP8,blue
ATF2,PSME2,blue
ATF2,SLC31A2,blue
ATF2,TMEM101,blue
ATF2,SLC39A4,blue
ATF2,HLA-DPA1,blue
ATF2,DTX3L,blue
ATF2,MVP,blue
ATF2,DBI,blue
ATF2,NUP54,blue
ATF2,SMARCB1,blue
ATF2,DNASE1L1,blue
ATF2,NOC4L,blue
ATF2,AKT1S1,blue
ATF2,CD40LG,blue
ATF2,JUN,blue
