Source,Target,Color
ATF2,JMJD1C,green
ATF2,UBE2H,green
ATF2,PANK2,green
ATF2,ADK,green
ATF2,RP11-596C23.2,green
ATF2,ADAP1,green
ATF2,CDK19,green
ATF2,KLC1,green
ATF2,IFNAR2,green
ATF2,SAMD4B,green
ATF2,SLC12A6,green
ATF2,TANGO2,green
ATF2,NCOA7,green
ATF2,ELMO1,green
ATF2,PTPN6,green
ATF2,DDX19A,green
ATF2,RPS9,green
ATF2,HLA-DMA,green
ATF2,CCDC130,green
ATF2,PITPNC1,green
ATF2,FOXN2,green
ATF2,RAB8A,green
ATF2,ESYT2,green
ATF2,MEF2C,green
ATF2,SEC14L1,green
ATF2,UTP3,green
ATF2,BIRC3,green
ATF2,HIST2H2BE,green
ATF2,ARFIP1,green
ATF2,KIAA0232,green
ATF2,IFITM3,green
ATF2,SCAMP4,green
ATF2,TMEM245,green
ATF2,PPM1M,green
ATF2,RP11-796E2.4,green
ATF2,PKM,green
ATF2,ISG20,green
ATF2,BACH1,green
ATF2,S100PBP,green
ATF2,PVT1,green
ATF2,WDR82,green
ATF2,BTG2,green
ATF2,DYRK1A,green
ATF2,BTG1,green
ATF2,IFI16,green
ATF2,ST3GAL2,green
ATF2,MYL12A,green
ATF2,CREB3L2,green
ATF2,UPF2,green
ATF2,DDX10,green
ATF2,ATXN7,green
ATF2,MALAT1,green
ATF2,ARID5B,green
ATF2,LAPTM5,green
ATF2,SLC35E3,green
ATF2,MCTP1,green
ATF2,SUB1,green
ATF2,SYNGR1,green
ATF2,RERE,green
ATF2,CUTA,green
ATF2,FAM129C,green
ATF2,AKAP13,green
ATF2,SCAMP1,green
ATF2,SERF2,green
ATF2,TNFAIP3,green
ATF2,CBX3,green
ATF2,TRAF3IP3,green
ATF2,XXbac-BPG299F13.17,green
ATF2,PHYH,green
ATF2,ENSA,green
ATF2,ADD1,green
ATF2,P4HB,green
ATF2,CREM,green
ATF2,LPAR6,green
ATF2,CSNK1E,green
ATF2,SUPT5H,green
ATF2,TOM1,green
ATF2,DIAPH1,green
ATF2,PRKRIR,green
ATF2,ACTR2,green
ATF2,HIST1H1D,green
ATF2,REV3L,green
ATF2,DENND5A,green
ATF2,CLIC1,green
ATF2,H3F3B,green
ATF2,EVI5,green
ATF2,ATM,green
ATF2,RPS18,green
ATF2,SERTAD2,green
ATF2,ANAPC5,green
ATF2,CTNNA1,green
ATF2,KLF6,green
ATF2,RPL4,green
ATF2,NF1,green
ATF2,IVNS1ABP,green
ATF2,C14orf159,green
ATF2,AP3M2,green
ATF2,FAM134C,green
ATF2,BANK1,green
ATF2,RCBTB2,green
ATF2,TMSB4X,green
ATF2,ATXN1,green
ATF2,OTUD5,green
ATF2,MDM4,green
ATF2,KATNA1,green
ATF2,ARL6IP5,green
ATF2,SIPA1,green
ATF2,DOCK10,green
ATF2,LINC00649,green
ATF2,DENND4B,green
ATF2,HNRNPA2B1,green
ATF2,TBC1D4,green
ATF2,MRPL39,green
ATF2,CASC3,green
ATF2,STAT3,green
ATF2,FOSB,green
ATF2,GALK1,green
ATF2,PRKCH,green
ATF2,GRB2,green
ATF2,MAPK6,green
ATF2,RBBP5,green
ATF2,HMGB1,green
ATF2,BOLA1,green
ATF2,CTA-292E10.6,green
ATF2,TUBA1C,green
ATF2,RHOH,green
ATF2,TIPARP,green
ATF2,IER5,green
ATF2,SEPT11,green
ATF2,CCDC82,green
ATF2,FAM117A,green
ATF2,CLEC2D,green
ATF2,CDC37,green
ATF2,FKBP5,green
ATF2,SQRDL,green
ATF2,SZRD1,green
ATF2,SIPA1L1,green
ATF2,HERPUD1,green
ATF2,FAM129A,green
ATF2,NCF2,green
ATF2,FNDC3B,green
ATF2,LYN,green
ATF2,SLC35A4,green
ATF2,LPP,green
ATF2,MTHFD2,green
ATF2,ZFP36L1,green
ATF2,TAGLN2,green
ATF2,GSK3B,green
ATF2,MYL12B,green
ATF2,LAPTM4A,green
ATF2,SPG20,green
ATF2,B2M,green
ATF2,LY86,green
ATF2,ANKRD44,green
ATF2,TRAPPC12,green
ATF2,IQSEC1,green
ATF2,KDM3B,green
ATF2,NR1D2,green
ATF2,RPS20,green
ATF2,ZC3H4,green
ATF2,UBA3,green
ATF2,AFF1,green
ATF2,ST6GALNAC4,green
ATF2,HLA-DMB,green
ATF2,PAK1,green
ATF2,FNDC3A,green
ATF2,SPEN,green
ATF2,MKL1,green
ATF2,ZCCHC7,green
ATF2,MEF2D,green
ATF2,VASP,green
ATF2,THEMIS2,green
ATF2,TPD52,green
ATF2,SYTL3,green
ATF2,ARID5A,green
ATF2,ARPC5,green
ATF2,COQ2,green
ATF2,GNAS,green
ATF2,IPCEF1,green
ATF2,CDC42SE2,green
ATF2,HELQ,green
