TF,Target
FOXP1,RCSD1
SPIB,MTF1
BHLHE40,BAP1
GATA3,LRRFIP1
BHLHE40,FAR1
GATA3,UQCC3
GATA3,CITED4
FOXP1,EIF2S3
CBFB,RAB31
FLI1,PLA2G16
MAZ,DTX3L
NFYB,NBEAL1
RARA,UTP4
GATA3,DGKZ
GABPA,PRMT7
JUND,UBALD1
ZZZ3,KIAA0586
ETS1,FBL
IRF1,CD4
ZZZ3,ATXN1
CDK9,SNAP47
SPI1,FAM117A
IRF1,C4orf3
IRF5,GALM
CEBPA,SERF2
FOS,SLC10A3
ATF3,GIPC1
CDK9,EVL
SPI1,FYN
SREBF2,STX11
CEBPA,SQRDL
ETV6,SLFN12L
CDK9,RNF167
BCL6,MEGF9
EP300,GNB2
SPI1,ATF3
IRF1,H3F3B
MAZ,RBBP5
CREBBP,KLRG1
IRF5,RSRP1
GATA3,RP11-291B21.2
RXRA,HLA-A
NFYB,RPS28
CDK9,PIM2
STAT4,NBEAL2
MAZ,TCF12
MAZ,PER1
GATA3,LCP1
BHLHE40,RRP8
EP300,IVD
STAT1,ITGA5
CREBBP,JADE2
NFYB,CCND3
POLR2A,CLIC1
CEBPA,DEGS1
RXRA,C11orf21
ATF3,FRG1
IRF1,DUSP28
CREBBP,APOBR
BHLHE40,NUP85
ETS1,MICAL1
CDK9,LPP
SREBF2,MTFP1
BHLHE40,DGCR2
FLI1,FAM219B
CREBBP,NARF
JUND,SMCO4
BCL6,ATF3
CDK9,PRKCD
ETS1,HIST2H2BE
ZNF143,UBE2V1
JUND,ELAC2
LMO2,TFEC
ETS1,PRPF18
STAT5A,KLF6
CTBP2,C9orf85
IRF1,UNC45A
CEBPA,CHMP1B
FOXP1,MYL6
CDK9,TSN
SPI1,IDS
POU2F2,TMEM176B
FOXP1,MOSPD3
CTBP2,MEF2C
FOS,BAP1
EP300,ZCCHC7
RUNX3,ETV6
EP300,ORAI1
RUNX3,IL4R
EP300,KLHL7
RUNX3,FNDC3A
SPIB,IP6K1
CTBP2,MIR4435-2HG
BHLHE40,GNAS
STAT1,NDRG1
CDK9,SSFA2
MAZ,RNF38
CDK9,RNF26
STAT4,LINC00926
POLR2A,VPS4A
IRF1,SOX4
CTBP2,STK4
STAT5B,STX6
ZNF143,YIF1B
ETS1,TIMM44
LMO2,SGK1
CBFB,ABCF3
MAZ,BAK1
BATF,TSTD1
ATF2,PPM1M
CDK9,MX2
GATA3,SIRT6
CEBPA,GDI2
MAZ,MT1F
LMO2,PRELID1
SPI1,TMEM41B
ZZZ3,UQCRB
IRF1,RHNO1
NFYB,TRIM26
CBFB,LINC00926
POU2F2,RPL27A
SPI1,STAT5B
SPI1,NR1D2
ETS1,SNAP47
SPI1,PHACTR1
LMO2,MINA
GATA3,ANKRD17
ESRRA,PSMB8
SPI1,DPH7
FLI1,EIF4G3
ETV6,LAPTM5
GATA3,FIS1
CREBBP,SEMA4A
BHLHE40,GOT2
BATF,IL6R
RUNX3,VEZF1
MEF2C,CIRBP
TAF1,ITGAX
STAT4,ABHD2
STAT1,PPP4C
EP300,GTF3C1
LYL1,ADAP1
CEBPA,SPON2
FOS,NUP85
FOXP1,MTHFD2
IRF1,DYRK1A
FLI1,ARPC5
STAT5B,TSPAN14
ESRRA,NOL9
TBP,FAM127A
TBX21,GNPTG
MAZ,BOLA1
MAZ,TMEM30A
ETS1,CLK1
SPIB,INSIG1
EP300,CIAO1
CDK9,FGD5-AS1
RAD21,ZFP36L1
STAT5A,C19orf48
TAF1,TRIM39
TAF1,CALHM2
FLI1,UCHL5
CTBP2,PDLIM7
NFYB,GSTP1
LMO2,PLXNB2
JUND,CLN6
POLR2A,NEAT1
FOXP1,PDLIM1
ETS1,EIF4G2
BCL6,NR1D2
FLI1,TMEM59
EP300,TMEM199
MAZ,SMIM14
TAF1,SEP15
CDK9,IL12RB1
TBP,UROD
ETS1,LPP
EP300,HOXB-AS1
NFYB,VASP
ETS1,TTC37
ETS1,TMED5
FOS,MRPL51
SPIB,RPL12
CDK9,SUPT5H
CDK9,HIGD1A
POU2F2,RPL28
MEF2C,FKBP5
TAF1,TAP2
RUNX3,CDK6
FOXP1,INTS1
POU2F1,FBL
BHLHE40,SNAP29
MAZ,ABLIM1
ESRRA,FOXP1
EP300,MAT2B
LMO2,APBB1
MAZ,CORO7
FOXP1,CD244
IRF1,C11orf58
BHLHE40,DYNLL1
CEBPA,HSPA5
GABPA,POLRMT
GABPA,SCARB2
NFYB,RPS18
BHLHE40,PRKAR2A
BCL6,CCDC130
EP300,TMEM175
TAF1,ATXN1
STAT4,TBCD
ETS1,RNF26
STAT1,RFC2
TAF1,PPP1CA
POU2F2,CSK
TBX21,CIRBP
JUND,YWHAB
BHLHE40,VAMP4
RUNX3,LSM10
CREBBP,ABHD3
FLI1,TMIGD2
NFYB,STX11
BRD3,ZNF444
MAZ,L3MBTL2
CREBBP,MCFD2
ATF3,IST1
FLI1,CHD3
STAT5A,IKZF3
BATF,CA5B
RUNX3,ATG7
FOS,UBE2F
CDK9,C12orf76
CBFB,TBCD
SPIB,CALM3
SPI1,SNRPG
ATF3,CMIP
POLR2A,MESDC2
JUND,SLA2
GABPA,PRAF2
TCF12,L3MBTL2
CTBP2,RNPC3
SPI1,PIEZO1
FOXP1,CTNNBIP1
RARA,RUNX2
GATA3,CLIC1
SPI1,ATPAF1
CTBP2,TSC22D3
MAZ,HCFC1
TBX21,RBM28
IRF1,ATF2
ESRRA,SLC25A3
SPIB,FPGS
CTBP2,HLA-DPA1
STAT4,PRR5
LMO2,KLF6
FOXP1,MT-CO2
FLI1,CBX3
FOS,MBOAT7
POU2F1,PWWP2A
RUNX3,STX7
POLR2A,FAM3A
CDK9,PRNP
FLI1,TANGO2
FLI1,SERPINB1
FOXP1,AGO2
CBFB,MLXIP
ETV6,MT-CYB
SPIB,ORAI2
TBX21,FKBP5
IRF5,HIPK2
JUND,GIMAP8
BHLHE40,MLH3
JUND,CHN2
CDK9,WDR45B
ATF3,FAF2
RUNX3,DENND2D
ATF3,UBASH3A
IRF1,ARPC1B
TBX21,CD69
CBFB,CST3
FOXP1,GLIPR2
ATF3,G6PC3
MAX,COMMD10
POU2F1,PNPLA6
ESRRA,ITPRIP
FOS,E2F3
ATF2,GABARAPL2
CREBBP,IKZF1
TBP,TUBA1C
EP300,PSMG3
ATF3,SLC39A8
STAT5B,AC013264.2
BCL6,PIEZO1
SPIB,SPTLC2
GABPA,MRPL47
EP300,CISD3
CEBPA,DDX3X
ATF3,TMED7
SPI1,DCAF10
ESRRA,ISG20
SPI1,CHCHD10
RXRA,SUPT5H
EP300,PIGT
FOXP1,ADAM28
GABPA,FAM45A
ATF3,RUNX3
SPI1,INTS5
ZZZ3,PPM1F
ATF3,WDR37
IRF1,RBM22
STAT1,INTS1
FOS,PRKAR2A
SPI1,RNF11
CEBPA,THEM4
FOS,MAPKAPK2
BCL6,MSH3
CREBBP,TUBA1C
ETS1,PRKCA
CREBBP,STXBP3
SPI1,KIAA0232
SPIB,RAD51C
SPIB,EZR
FOS,VAMP4
ESRRA,GPX1
SPI1,PRDX4
MAZ,MAVS
CEBPA,PHF12
CTBP2,MTR
FOS,RPS6
GABPA,AC074117.10
STAT4,DSTYK
EP300,REXO2
CTBP2,MRPL17
CTBP2,ZNF44
CREBBP,TSPO
CEBPA,CELF1
EP300,RTCA
FLI1,FXN
GATA3,KIAA0586
CEBPA,GTF2H1
BATF,ATF7
CEBPA,RBM6
MAZ,SLC10A3
IRF1,KLHL7
TCF12,MAVS
EP300,ELP5
MAZ,TPD52
GABPA,UFD1L
BCL6,CHCHD10
BCL11A,LPIN2
STAT5B,MTAP
BHLHE40,ANXA6
ZZZ3,CD93
RUNX3,FAM117A
ZZZ3,SULF2
ATF3,C15orf39
MEF2C,FOS
EP300,NMT2
STAT1,USP4
LMO2,ARL5B
BCL6,SCLT1
GATA3,WDR59
GATA3,GFM1
SPI1,PTP4A2
LMO2,HINT1
LMO2,PDE12
TBP,P2RX4
MAZ,CXCR4
SREBF2,MEF2D
RARA,GALK2
MAZ,KEAP1
ATF3,NCOA1
ETS1,GSS
BCL6,KIAA0232
RUNX3,ATF3
GATA3,DDX60L
EP300,EIF2B2
GATA3,HSBP1L1
FOXP1,DHX16
GATA3,NEAT1
CDK9,SCAF11
