,TF,Target
0,FOXP1,RCSD1
1,SPIB,MTF1
2,BHLHE40,BAP1
3,GATA3,LRRFIP1
4,BHLHE40,FAR1
5,GATA3,UQCC3
6,GATA3,CITED4
7,FOXP1,EIF2S3
8,CBFB,RAB31
9,FLI1,PLA2G16
10,MAZ,DTX3L
11,NFYB,NBEAL1
12,RARA,UTP4
13,GATA3,DGKZ
14,GABPA,PRMT7
15,JUND,UBALD1
16,ZZZ3,KIAA0586
17,ETS1,FBL
18,IRF1,CD4
19,ZZZ3,ATXN1
20,CDK9,SNAP47
21,SPI1,FAM117A
22,IRF1,C4orf3
23,IRF5,GALM
24,CEBPA,SERF2
25,FOS,SLC10A3
26,ATF3,GIPC1
27,CDK9,EVL
28,SPI1,FYN
29,SREBF2,STX11
30,CEBPA,SQRDL
31,ETV6,SLFN12L
32,CDK9,RNF167
33,BCL6,MEGF9
34,EP300,GNB2
35,SPI1,ATF3
36,IRF1,H3F3B
37,MAZ,RBBP5
38,CREBBP,KLRG1
39,IRF5,RSRP1
40,GATA3,RP11-291B21.2
41,RXRA,HLA-A
42,NFYB,RPS28
43,CDK9,PIM2
44,STAT4,NBEAL2
45,MAZ,TCF12
46,MAZ,PER1
47,GATA3,LCP1
48,BHLHE40,RRP8
49,EP300,IVD
50,STAT1,ITGA5
51,CREBBP,JADE2
52,NFYB,CCND3
53,POLR2A,CLIC1
54,CEBPA,DEGS1
55,RXRA,C11orf21
56,ATF3,FRG1
57,IRF1,DUSP28
58,CREBBP,APOBR
59,BHLHE40,NUP85
60,ETS1,MICAL1
61,CDK9,LPP
62,SREBF2,MTFP1
63,BHLHE40,DGCR2
64,FLI1,FAM219B
65,CREBBP,NARF
66,JUND,SMCO4
67,BCL6,ATF3
68,CDK9,PRKCD
69,ETS1,HIST2H2BE
70,ZNF143,UBE2V1
71,JUND,ELAC2
72,LMO2,TFEC
73,ETS1,PRPF18
74,STAT5A,KLF6
75,CTBP2,C9orf85
76,IRF1,UNC45A
77,CEBPA,CHMP1B
78,FOXP1,MYL6
79,CDK9,TSN
80,SPI1,IDS
81,POU2F2,TMEM176B
82,FOXP1,MOSPD3
83,CTBP2,MEF2C
84,FOS,BAP1
85,EP300,ZCCHC7
86,RUNX3,ETV6
87,EP300,ORAI1
88,RUNX3,IL4R
89,EP300,KLHL7
90,RUNX3,FNDC3A
91,SPIB,IP6K1
92,CTBP2,MIR4435-2HG
93,BHLHE40,GNAS
94,STAT1,NDRG1
95,CDK9,SSFA2
96,MAZ,RNF38
97,CDK9,RNF26
98,STAT4,LINC00926
99,POLR2A,VPS4A
100,IRF1,SOX4
101,CTBP2,STK4
102,STAT5B,STX6
103,ZNF143,YIF1B
104,ETS1,TIMM44
105,LMO2,SGK1
106,CBFB,ABCF3
107,MAZ,BAK1
108,BATF,TSTD1
109,ATF2,PPM1M
110,CDK9,MX2
111,GATA3,SIRT6
112,CEBPA,GDI2
113,MAZ,MT1F
114,LMO2,PRELID1
115,SPI1,TMEM41B
116,ZZZ3,UQCRB
117,IRF1,RHNO1
118,NFYB,TRIM26
119,CBFB,LINC00926
120,POU2F2,RPL27A
121,SPI1,STAT5B
122,SPI1,NR1D2
123,ETS1,SNAP47
124,SPI1,PHACTR1
125,LMO2,MINA
126,GATA3,ANKRD17
127,ESRRA,PSMB8
128,SPI1,DPH7
129,FLI1,EIF4G3
130,ETV6,LAPTM5
131,GATA3,FIS1
132,CREBBP,SEMA4A
133,BHLHE40,GOT2
134,BATF,IL6R
135,RUNX3,VEZF1
136,MEF2C,CIRBP
