,TF,Target
137,TAF1,ITGAX
138,STAT4,ABHD2
139,STAT1,PPP4C
140,EP300,GTF3C1
141,LYL1,ADAP1
142,CEBPA,SPON2
143,FOS,NUP85
144,FOXP1,MTHFD2
145,IRF1,DYRK1A
146,FLI1,ARPC5
147,STAT5B,TSPAN14
148,ESRRA,NOL9
149,TBP,FAM127A
150,TBX21,GNPTG
151,MAZ,BOLA1
152,MAZ,TMEM30A
153,ETS1,CLK1
154,SPIB,INSIG1
155,EP300,CIAO1
156,CDK9,FGD5-AS1
157,RAD21,ZFP36L1
158,STAT5A,C19orf48
159,TAF1,TRIM39
160,TAF1,CALHM2
161,FLI1,UCHL5
162,CTBP2,PDLIM7
163,NFYB,GSTP1
164,LMO2,PLXNB2
165,JUND,CLN6
166,POLR2A,NEAT1
167,FOXP1,PDLIM1
168,ETS1,EIF4G2
169,BCL6,NR1D2
170,FLI1,TMEM59
171,EP300,TMEM199
172,MAZ,SMIM14
173,TAF1,SEP15
174,CDK9,IL12RB1
175,TBP,UROD
176,ETS1,LPP
177,EP300,HOXB-AS1
178,NFYB,VASP
179,ETS1,TTC37
180,ETS1,TMED5
181,FOS,MRPL51
182,SPIB,RPL12
183,CDK9,SUPT5H
184,CDK9,HIGD1A
185,POU2F2,RPL28
186,MEF2C,FKBP5
187,TAF1,TAP2
188,RUNX3,CDK6
189,FOXP1,INTS1
190,POU2F1,FBL
191,BHLHE40,SNAP29
192,MAZ,ABLIM1
193,ESRRA,FOXP1
194,EP300,MAT2B
195,LMO2,APBB1
196,MAZ,CORO7
197,FOXP1,CD244
198,IRF1,C11orf58
199,BHLHE40,DYNLL1
200,CEBPA,HSPA5
201,GABPA,POLRMT
202,GABPA,SCARB2
203,NFYB,RPS18
204,BHLHE40,PRKAR2A
205,BCL6,CCDC130
206,EP300,TMEM175
207,TAF1,ATXN1
208,STAT4,TBCD
209,ETS1,RNF26
210,STAT1,RFC2
211,TAF1,PPP1CA
212,POU2F2,CSK
213,TBX21,CIRBP
214,JUND,YWHAB
215,BHLHE40,VAMP4
216,RUNX3,LSM10
217,CREBBP,ABHD3
218,FLI1,TMIGD2
219,NFYB,STX11
220,BRD3,ZNF444
221,MAZ,L3MBTL2
222,CREBBP,MCFD2
223,ATF3,IST1
224,FLI1,CHD3
225,STAT5A,IKZF3
226,BATF,CA5B
227,RUNX3,ATG7
228,FOS,UBE2F
229,CDK9,C12orf76
230,CBFB,TBCD
231,SPIB,CALM3
232,SPI1,SNRPG
233,ATF3,CMIP
234,POLR2A,MESDC2
235,JUND,SLA2
236,GABPA,PRAF2
237,TCF12,L3MBTL2
238,CTBP2,RNPC3
239,SPI1,PIEZO1
240,FOXP1,CTNNBIP1
241,RARA,RUNX2
242,GATA3,CLIC1
243,SPI1,ATPAF1
244,CTBP2,TSC22D3
245,MAZ,HCFC1
246,TBX21,RBM28
247,IRF1,ATF2
248,ESRRA,SLC25A3
249,SPIB,FPGS
250,CTBP2,HLA-DPA1
251,STAT4,PRR5
252,LMO2,KLF6
253,FOXP1,MT-CO2
254,FLI1,CBX3
255,FOS,MBOAT7
256,POU2F1,PWWP2A
257,RUNX3,STX7
258,POLR2A,FAM3A
259,CDK9,PRNP
260,FLI1,TANGO2
261,FLI1,SERPINB1
262,FOXP1,AGO2
263,CBFB,MLXIP
264,ETV6,MT-CYB
265,SPIB,ORAI2
266,TBX21,FKBP5
267,IRF5,HIPK2
268,JUND,GIMAP8
269,BHLHE40,MLH3
270,JUND,CHN2
271,CDK9,WDR45B
272,ATF3,FAF2
273,RUNX3,DENND2D
274,ATF3,UBASH3A
275,IRF1,ARPC1B
276,TBX21,CD69
277,CBFB,CST3
278,FOXP1,GLIPR2
279,ATF3,G6PC3
280,MAX,COMMD10
281,POU2F1,PNPLA6
282,ESRRA,ITPRIP
283,FOS,E2F3
284,ATF2,GABARAPL2
285,CREBBP,IKZF1
286,TBP,TUBA1C
287,EP300,PSMG3
288,ATF3,SLC39A8
289,STAT5B,AC013264.2
290,BCL6,PIEZO1
291,SPIB,SPTLC2
292,GABPA,MRPL47
293,EP300,CISD3
294,CEBPA,DDX3X
295,ATF3,TMED7
296,SPI1,DCAF10
297,ESRRA,ISG20
298,SPI1,CHCHD10
299,RXRA,SUPT5H
300,EP300,PIGT
301,FOXP1,ADAM28
302,GABPA,FAM45A
303,ATF3,RUNX3
304,SPI1,INTS5
305,ZZZ3,PPM1F
306,ATF3,WDR37
307,IRF1,RBM22
308,STAT1,INTS1
309,FOS,PRKAR2A
310,SPI1,RNF11
311,CEBPA,THEM4
312,FOS,MAPKAPK2
313,BCL6,MSH3
314,CREBBP,TUBA1C
315,ETS1,PRKCA
316,CREBBP,STXBP3
317,SPI1,KIAA0232
318,SPIB,RAD51C
319,SPIB,EZR
320,FOS,VAMP4
321,ESRRA,GPX1
322,SPI1,PRDX4
323,MAZ,MAVS
324,CEBPA,PHF12
325,CTBP2,MTR
326,FOS,RPS6
327,GABPA,AC074117.10
328,STAT4,DSTYK
329,EP300,REXO2
330,CTBP2,MRPL17
331,CTBP2,ZNF44
332,CREBBP,TSPO
333,CEBPA,CELF1
334,EP300,RTCA
335,FLI1,FXN
336,GATA3,KIAA0586
337,CEBPA,GTF2H1
338,BATF,ATF7
339,CEBPA,RBM6
340,MAZ,SLC10A3
341,IRF1,KLHL7
342,TCF12,MAVS
343,EP300,ELP5
344,MAZ,TPD52
345,GABPA,UFD1L
346,BCL6,CHCHD10
347,BCL11A,LPIN2
348,STAT5B,MTAP
349,BHLHE40,ANXA6
350,ZZZ3,CD93
351,RUNX3,FAM117A
352,ZZZ3,SULF2
353,ATF3,C15orf39
354,MEF2C,FOS
355,EP300,NMT2
356,STAT1,USP4
357,LMO2,ARL5B
358,BCL6,SCLT1
359,GATA3,WDR59
360,GATA3,GFM1
361,SPI1,PTP4A2
362,LMO2,HINT1
363,LMO2,PDE12
364,TBP,P2RX4
365,MAZ,CXCR4
366,SREBF2,MEF2D
367,RARA,GALK2
368,MAZ,KEAP1
369,ATF3,NCOA1
370,ETS1,GSS
371,BCL6,KIAA0232
372,RUNX3,ATF3
373,GATA3,DDX60L
374,EP300,EIF2B2
375,GATA3,HSBP1L1
376,FOXP1,DHX16
377,GATA3,NEAT1
378,CDK9,SCAF11
379,SPI1,PSMC5
380,NFYB,EIF3E
381,LMO2,CCNL1
382,CDK9,DCAF13
383,BCL6,FAM134B
384,CDK9,NIT1
385,BCL11A,PLPP5
386,EGR1,ITGB2
387,STAT1,BRI3
388,LMO2,RERE
389,CTBP2,KLHL6
390,MAZ,PNKD
391,STAT4,MAPK6
392,CREBBP,P2RX4
393,GABPA,CREB3
394,CDK9,NF2
395,STAT4,SLC2A4RG
396,BHLHE40,CD302
397,IRF1,GTF3C1
398,POU2F1,BCL2L1
399,CDK9,CRELD2
400,ETS1,WDR45B
401,CEBPA,UBN1
402,POLR2A,PUM2
403,RAD21,PHF12
404,FOS,UBXN2B
405,ELF1,MVP
406,EP300,ACTN4
407,POU2F2,FLJ37453
408,BRD3,B2M
409,EP300,CDC5L
410,BATF,MT1X
411,CBFB,EXOSC7
412,TAF1,GNB4
413,RXRA,RETN
414,RARA,E2F3
415,MAZ,RPL36
416,TAF1,KCNE3
417,RUNX3,LARP1
418,POLR2A,UBAP2L
419,IRF1,CIAO1
420,TBP,TRPV2
421,GABPA,OGT
422,POU2F2,C15orf39
423,IRF1,THUMPD3-AS1
424,MAZ,BAP1
425,SPI1,MATK
426,LMO2,RPS3
427,MAZ,FAR1
428,SPI1,NADK
429,MAZ,C1orf56
430,ATF3,TMEM191B
431,CDK9,LRRFIP1
432,ELF1,SH3TC1
433,ETS1,SCYL1
434,CDK9,UQCC3
435,CDK9,CITED4
436,CEBPA,TNFAIP3
437,FLI1,ESRRA
438,JUND,LTBR
439,RXRA,RPL36A
440,LMO2,LPAR6
441,CDK9,ARF5
442,CREBBP,GON4L
443,CTBP2,DLD
444,CEBPA,MAPKAPK3
445,GABPA,LSM5
446,CDK9,DGKZ
447,POLR2A,PPM1F
448,TAF1,ILK
449,EP300,BRD8
450,BHLHE40,ARPC4
451,NFYB,CHMP2A
452,BHLHE40,CLEC2D
453,TBX21,DEXI
454,TCF12,C1orf56
455,RARA,MAPKAPK2
456,ATF3,HLA-DPB1
457,CREBBP,TRPV2
458,RARA,BTG1
459,STAT4,CCND2
460,RXRA,PTGER2
461,GABPA,RNF125
462,SPI1,PLEC
463,CREBBP,SH2D3A
464,MAZ,HHEX
465,RARA,RPS6
466,POLR2A,LRRC59
467,GABPA,MBD5
468,EP300,SH3BP1
469,STAT5A,SORL1
470,TAF1,YIF1B
471,FOS,ANXA6
472,SPI1,NCF2
473,ATF3,HMOX1
474,ESRRA,CD52
475,BCL11A,MFSD11
476,TAF1,ZFPL1
477,BATF,FRAT2
478,STAT4,ITGAM
479,LYL1,CSF1R
480,EP300,NME4
481,GABPA,GUK1
482,MAZ,RRP8
483,TBP,FBP1
484,CEBPA,RPL6
485,JUND,HLA-A
486,LMO2,DUS1L
487,SPI1,SREBF2
488,TAF1,PATL2
489,TBP,CD33
490,FOXP1,C18orf25
491,ESRRA,SLFN12L
492,ESRRA,ZFP90
493,CEBPA,DHX8
494,RUNX3,BAZ1A
495,GABPA,ZCCHC6
496,POU2F2,TMEM191B
497,RUNX3,NR1D2
498,FOXP1,MT-ND5
499,CTBP2,TMEM204
500,ESRRA,ZSWIM8
501,BATF,HAVCR2
502,IRF5,MINA
503,MAZ,BMI1
504,RXRA,MON2
505,STAT4,ADA
506,EP300,TMEM38B
507,MAZ,PRKRIP1
508,JUND,MSRB1
509,EP300,PTPRJ
510,FLI1,GABPB1
511,MAZ,DGCR2
512,LMO2,PIGK
513,FOS,CD302
514,BCL6,PLEC
515,POU2F2,HLA-DPB1
516,FOXP1,PSTPIP2
517,PML,RRP8
518,STAT5A,MCL1
519,TBX21,RPS21
520,IRF1,LRRC8D
521,STAT4,KIF22
522,RUNX3,ITGB2-AS1
523,BCL6,NCF2
524,SPI1,AGTRAP
525,POU2F1,ARHGEF1
526,CEBPA,MCTP1
527,CDK9,MAP3K13
528,CBFB,NTMT1
529,CDK9,TBC1D10C
530,RAD21,MAPKAPK3
531,ZNF143,PRPF19
532,MEF2C,GPR171
533,GABPA,SUPT20H
534,POLR2A,LTBP4
535,RARA,RPL22L1
536,MEF2C,ETHE1
537,GABPA,TMEM176B
538,BCL6,SREBF2
539,MEF2C,RCBTB2
540,FOXP1,ARNT
541,TAF1,ABHD12
542,RUNX3,CCDC130
543,RARA,UBXN2B
544,MAZ,GNAS
545,GABPA,PHAX
546,TAF1,SLC16A3
547,MAZ,OAT
548,POLR2A,SGTA
549,TAF1,EPHX2
550,SPI1,MTCH2
551,RUNX3,PARP4
552,CTBP2,FAM101B
553,FOS,ARPC4
554,FLI1,USB1
555,NFYB,RPL18
556,CEBPA,ZZZ3
557,CEBPA,DTYMK
558,STAT4,ANPEP
559,SPI1,ITGA6
560,ETV6,TLR2
561,ESRRA,CUTA
562,CTBP2,DPP4
563,BCL6,QSOX1
564,IRF1,PSMG3
565,CDK9,SIRT6
566,STAT5B,STK4
567,ETS1,LRRFIP1
568,ETV6,QDPR
569,GABPA,RPL27A
570,RAD21,DHX8
571,BCL6,LAMTOR3
572,FLI1,POM121C
573,ETS1,ARF5
574,FOXP1,RPS12
575,BCL6,TDG
576,MEF2C,HLA-DRB1
577,CTBP2,CRTAM
578,SPIB,IMPA2
579,TBP,LILRB4
580,CBFB,ANPEP
581,MYC,HERPUD1
582,FLI1,RAD1
583,SPIB,TMEM154
584,GABPA,GALK1
585,FLI1,YPEL5
586,POU2F1,GSS
587,CDK9,ANKRD17
588,BRD3,PTMS
589,EP300,FAM43A
590,ETS1,WIPF2
591,EP300,ACOT8
592,TAF1,CD93
593,CEBPA,DCAF15
594,TCF12,ELMO1
595,RXRA,CKS2
596,FOS,USP38
597,STAT4,LAMTOR5
598,GABPA,CCDC84
599,RARA,ANXA6
600,STAT4,TNFAIP2
601,CEBPA,DPP3
602,ZZZ3,PTGDR
603,BATF,AKAP11
604,BATF,CHST11
605,MAZ,CBFB
606,CTBP2,PLCB2
607,FLI1,KANSL1-AS1
608,ATF3,CD300C
609,CTBP2,IL6ST
610,STAT5B,SCGB3A1
611,CDK9,TMEM245
612,RUNX3,MTO1
613,EP300,DYNC1LI2
614,STAT1,C18orf25
615,EGR1,KAT2A
616,BCL6,ITGA6
617,ETS1,ANAPC5
618,FOXP1,DUSP1
619,SPI1,GAPT
620,CDK9,METAP1
621,IRF1,ELP5
622,TBX21,GPR171
623,SPI1,GRAMD1A
624,TAF1,RPL10A
625,SPIB,RFX1
626,POU2F2,RGL4
627,FOS,DXO
628,TBX21,CEP78
629,ESRRA,LAPTM5
630,EP300,POGK
631,SREBF2,N4BP2L2
632,BATF,HNRNPLL
633,GATA3,EFHD2
634,FLI1,RAB27A
635,NFYB,DEK
636,POU2F2,LTA4H
637,CDK9,PDK1
638,CBFB,GSN
639,MEF2C,XCL2
640,ATF3,SNHG8
641,TCF12,MBOAT7
642,POLR2A,POLR2G
643,FLI1,PPWD1
644,RXRA,CYBA
645,CTBP2,PVT1
646,CREBBP,ARHGEF3
647,TAF1,C14orf159
648,CTBP2,RAB34
649,RARA,CD302
650,EP300,ELF1
651,BHLHE40,TMED10
652,GABPA,GNL3L
653,ETS1,SNRNP70
654,CTBP2,FPR1
655,CBFB,OTUD5
656,MAZ,CCDC18
657,FOXP1,NFAT5
658,ATF3,HENMT1
659,ETV6,RPL31
660,NFYB,TM9SF2
661,CEBPA,KIAA0319L
662,ETS1,CISD1
663,GABPA,RPL28
664,LMO2,DCTN4
665,SPI1,LZIC
666,MAZ,SNAP29
667,ATF3,METTL13
668,RXRA,PKM
669,FOS,PDIA3
670,POU2F1,ADAP1
671,CTBP2,CTD-2020K17.1
672,ETS1,TBC1D10C
673,CEBPA,TMSB4X
674,CTBP2,SPATC1L
675,MAZ,DYNLL1
676,BHLHE40,CBR4
677,BRD3,PSAP
678,LMO2,SORL1
679,STAT4,SOCS3
680,CTBP2,UPP1
681,STAT5B,THEMIS
682,SPI1,CCDC69
683,BATF,ACSL4
684,FOS,BEST1
685,CREBBP,IKBKB
686,FLI1,MOGS
687,BCL6,GAPT
688,BCL6,SNAPC3
689,CREBBP,TRAF3IP3
690,LMO2,HNMT
691,CREBBP,ANKRD44
692,ETS1,MRPL39
693,EP300,ARID5B
694,ETV6,NBEAL1
695,FLI1,TSPAN17
696,RXRA,HSD17B4
697,CREBBP,PCYT1A
698,RAD21,DPP3
699,MAZ,VAMP4
700,FLI1,FAM208B
701,GABPA,CSK
702,BCL6,ZMAT3
703,CDK9,CSNK2A2
704,FLI1,ENDOV
705,CREBBP,PDZD11
706,TCF12,MAPKAPK2
707,FLI1,SCAI
708,FOXP1,NINJ1
709,RUNX3,PIK3CD
710,FOXP1,NCOA3
711,MAZ,NCOA7
712,ESRRA,LGALS3BP
713,STAT4,TC2N
714,FOXP1,SF1
715,CDK9,CLIC1
716,POU2F1,FOSB
717,ZZZ3,SH3BGRL3
718,MAZ,ZDHHC7
719,EP300,COX5A
720,BHLHE40,ALDH3B1
721,CTBP2,IL2RG
722,POLR2A,FNBP1
723,TBX21,XCL2
724,BHLHE40,IL6R
725,BRD3,TBL1XR1
726,BCL6,FOXN2
727,ETS1,ZNF143
728,GABPA,FEZ2
729,BHLHE40,FAM89B
730,BHLHE40,TSTA3
731,RARA,USP38
732,JUND,GBP1
733,ETS1,FIS1
734,STAT1,GBP3
735,STAT5B,TSC22D3
736,ZZZ3,ARHGAP26
737,STAT5B,HLA-DPA1
738,ATF3,MT-ND4
739,IRF1,CALM1
740,MAZ,MLH3
741,ETS1,SIL1
742,MAZ,CDC42SE2
743,ETS1,TMEM245
744,BRD3,ACLY
745,LMO2,MAP7D3
746,STAT5B,ADGRE2
747,GATA3,LINC01272
748,GABPA,AP5Z1
749,TAF1,ACADS
750,RXRA,NOL7
751,STAT4,KDM3A
752,IRF5,ARL5B
753,BCL11A,TACC1
754,GABPA,CLN3
755,ATF3,AC090498.1
756,MAZ,IFI6
757,SPIB,GPBAR1
758,FLI1,CUL1
759,IRF5,HINT1
760,SPI1,COMTD1
761,CREBBP,MDM4
762,GATA3,LTBP4
763,TAF1,LSM4
764,GABPA,TARBP2
765,CTBP2,STAT4
766,ETS1,AFF1
767,IRF1,RPS27
768,NFYB,LINC01089
769,ETS1,KNOP1
770,FLI1,RC3H2
771,ESRRA,MT-CYB
772,GATA3,FAM110A
773,IRF1,APOL1
774,LMO2,MGST1
775,CEBPA,MGST2
776,STAT1,NFAT5
777,CDK9,VPS4A
778,IRF1,PTPRJ
779,ETV6,PAK1
780,GABPA,MPHOSPH8
781,ESRRA,TPI1
782,RUNX3,USP36
783,POLR2A,POP7
784,CEBPA,CCDC88B
785,ZZZ3,LIMD2
786,ELF1,PTP4A3
787,STAT5B,ADRBK1
788,FOXP1,ACAP3
789,ATF3,ACTG1
790,MAZ,GGCT
791,POU2F2,MYCBP2
792,BCL11A,TMEM175
793,ELF1,TIMP2
794,FOS,TSTD1
795,POLR2A,VPS33A
796,FLI1,STOM
797,CEBPA,C1orf131
798,CEBPA,ST6GALNAC4
799,POU2F2,MT-ND4
800,POLR2A,TM2D3
801,BRD3,ABCF3
802,CTBP2,ZNF84
803,POLR2A,RPL10
804,CDK9,KIAA0586
805,BCL6,COMTD1
806,NFYB,PLP2
807,RUNX3,GYPC
808,POU2F2,AC090498.1
809,SPI1,EIF4E3
810,CEBPA,NAA25
811,IRF5,RPS3
812,CEBPA,NCK1
813,GABPA,N4BP2L1
814,SPI1,APC
815,EP300,GLB1
816,BHLHE40,PEPD
817,SPI1,LINC00877
818,TBX21,BIRC3
819,STAT5B,ZNF44
820,SPI1,CAMK1
821,FOS,ALDH3B1
822,MAZ,PPP1R15B
823,BATF,AGTPBP1
824,FOS,IL6R
825,POLR2A,ATP13A1
826,ELF1,ZNF414
827,ATF2,CNP
828,SPI1,SCAP
829,CDK9,MED17
830,SPI1,NUP54
831,LMO2,IFFO1
832,TAF1,PTGDR
833,FOXP1,PTPRC
834,CREBBP,NPAT
835,CDK9,WDR59
836,CEBPA,UTY
837,CDK9,GFM1
838,MAZ,GSTK1
839,CEBPA,MSH2
840,RUNX3,PLEC
841,ETS1,CLIC1
842,SREBF2,SLC8A1
843,CDK9,DDX60L
844,POLR2A,SH3BGRL3
845,MEF2C,GABPB1-AS1
846,RXRA,ITGAX
847,POU2F1,SNRNP70
848,SPI1,GPS1
849,FLI1,MRPL37
850,BATF,PARP4
851,BATF,IFI16
852,CDK9,NEAT1
853,FOXP1,TANK
854,MAZ,CREM
855,ATF3,DDX23
856,TBX21,DENND6B
857,GABPA,PRCC
858,TBP,PTMS
859,NFYB,N4BP2L2
860,ETS1,MPPE1
861,TAF1,GAMT
862,IRF5,DUS1L
863,GATA3,PSMD12
864,ETV6,GSTP1
865,FLI1,TBC1D4
866,BCL6,LINC00877
867,BCL6,CAMK1
868,RXRA,CALHM2
869,TCF12,MZB1
870,BCL6,JMJD1C
871,SREBF2,BCL6
872,RARA,RPL18A
873,MEF2C,RPL35
874,BCL11A,CISD3
875,EP300,WDR73
876,GABPA,SETD2
877,BCL6,SCAP
878,BHLHE40,DNMT3A
879,SPI1,BCL9L
880,SPI1,SMAD2
881,IKZF1,VASP
882,RXRA,SEP15
883,CTBP2,RPL6
884,ETS1,CAP1
885,STAT5B,NFATC2IP
886,GABPA,C15orf39
887,CREBBP,PTMS
888,POU2F2,ACTR2
889,FOXP1,CD28
890,ETV6,FAM210B
891,SPI1,PITPNM1
892,RUNX3,TDG
893,FLI1,APOL2
894,IRF1,ELF1
895,BATF,CDKN1A
896,MAZ,ARPC4
897,MAZ,CLEC2D
898,POU2F2,ARL6IP5
899,ESRRA,LEO1
900,JUND,RPL36A
901,ETS1,CHORDC1
902,CTBP2,UCP2
903,EP300,COPB2
904,IRF1,TRUB2
905,RARA,TSTD1
906,FOS,CA5B
907,STAT5B,ALDH16A1
908,MEF2C,CD79B
909,EP300,LGALS2
910,STAT5B,DLD
911,ETV6,STX11
912,NFYB,PILRA
913,IRF5,CTB-61M7.2
914,CDK9,UQCRB
915,CDK9,MESDC2
916,RXRA,ATXN1
917,ESRRA,PDCL
918,RXRA,PPP1CA
919,TBX21,GABPB1-AS1
920,CTBP2,MCTP1
921,IRF5,SLC31A2
922,BCL6,BCL9L
923,ESRRA,RBX1
924,BATF,RBM15B
925,GATA3,FNBP1
926,BRD3,TBCD
927,GATA3,TTC39B
928,POU2F1,SIL1
929,RUNX3,TRPT1
930,POU2F1,CLPTM1L
931,BHLHE40,TBK1
932,CEBPA,ARL6IP1
933,CREBBP,SELPLG
934,FOXP1,IQGAP2
935,IRF1,ARID5B
936,FOXP1,IGHM
937,LMO2,HMGB1
938,RARA,IL6R
939,CDK9,FAM3A
940,ATF3,LRRC58
941,BCL6,CD48
942,EP300,JUNB
943,BHLHE40,RPS17
944,BCL6,PITPNM1
945,GABPA,SYNE1
946,ETS1,MED17
947,ELF1,C18orf32
948,TBX21,RPL35
949,CREBBP,CBLL1
950,GATA3,IFI44
951,BHLHE40,ETV6
952,CREBBP,PSAP
953,EP300,CTDP1
954,CTBP2,ZZZ3
955,CEBPA,HNRNPD
956,ETS1,KIAA1429
957,CTBP2,DTYMK
958,ESRRA,CBX4
959,EP300,ITGA5
960,RXRA,ALOX5AP
961,EP300,TAF1
962,CEBPA,SIRPG
963,FOS,OGFRL1
964,CDK9,ADIPOR1
965,ETS1,GFM1
966,ETV6,FKBP1A
967,ATF3,MORC2
968,POLR2A,NOP16
969,CDK9,MTG2
970,STAT5B,TMEM204
971,EP300,FAM96A
972,MAZ,DXO
973,ETS1,DDX60L
974,ETS1,HSBP1L1
975,RUNX3,ZCCHC8
976,ETV6,MTFP1
977,CEBPA,MARS
978,STAT4,MR1
979,FOS,DNMT3A
980,BRD3,FAM53B
981,ETS1,NEAT1
982,EP300,ZNF451
983,CTBP2,RBP7
984,LYL1,CXXC5
985,GABPA,ZFAND2A
986,CEBPA,ILF3-AS1
987,EP300,LBH
988,CTBP2,SLF2
989,IRF1,RPL3
990,ESRRA,TAF8
991,TBX21,RAB32
992,BATF,EHBP1L1
993,POLR2A,S100PBP
994,FOXP1,CISH
995,MAZ,BZW1
996,STAT5A,NCOA1
997,BHLHE40,RRBP1
998,CDK9,CGGBP1
999,CREBBP,TBL1XR1
1000,EP300,PIK3C3
1001,IRF1,B4GALT1
1002,SPI1,ARID5A
1003,POLR2A,WDR18
1004,CEBPA,IFT57
1005,ATF3,NFAM1
1006,BCL11A,UBE2J1
1007,SPI1,TPT1
1008,POU2F2,MORC2
1009,CEBPA,ZBTB43
1010,CDK9,CFD
1011,STAT5B,FAM101B
1012,FOS,ATF7
1013,SPI1,C22orf46
1014,ATF2,DPYSL2
1015,TCF12,BEST1
1016,BCL11A,HSP90B1
1017,NFYB,C5AR1
1018,BATF,RPS9
1019,FOXP1,CTB-50L17.10
1020,CREBBP,NBEAL2
1021,STAT5B,DPP4
1022,GABPA,IGSF8
1023,TAF1,SAT1
1024,EP300,ARAP2
1025,RUNX3,FOXN2
1026,RXRA,UQCRB
1027,TBP,NUS1
1028,IRF5,CLEC4E
1029,CDK9,AP3M2
1030,POU2F2,BLCAP
1031,BCL6,S100A9
1032,CEBPA,GBP5
1033,ESRRA,TLR2
1034,STAT5B,CRTAM
1035,FOS,RPS17
1036,GABPA,PSME3
1037,FOXP1,TOMM20
1038,CTBP2,KIAA0319L
1039,LMO2,TNRC6C
1040,POLR2A,RAB5B
1041,RAD21,MARS
1042,ETS1,KIAA1191
1043,JUND,SLCO3A1
1044,ESRRA,QDPR
1045,GABPA,ZNF101
1046,FOS,ETV6
1047,ATF3,PHTF2
1048,ESRRA,VPS26B
1049,ELF1,JAK3
1050,CTBP2,RPS5
1051,IRF1,FAM122A
1052,SPI1,LRRC47
1053,BCL6,ARID5A
1054,RXRA,IDH3A
1055,IRF1,CALU
1056,BHLHE40,CDK6
1057,NFYB,TUBA1A
1058,NFYB,SLC8A1
1059,BCL6,TPT1
1060,FOXP1,AKTIP
1061,STAT1,HNRNPAB
